Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats,
53520140,Cake doughnut  frosted,2,1.00000,"large (3-5/8"" across)",1.00000,0.50000,0.50000,1.32825,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03174,0.00000,0.00000,189.25596,59.02591,0.00000,327.06000,5.59590,
53520140,Cake doughnut  frosted,2,1.00000,doughnut hole,1.00000,1.00000,1.00000,0.38500,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00920,0.00000,0.00000,54.85680,17.10896,0.00000,94.80000,1.62200,
53520140,Cake doughnut  frosted,2,1.00000,"small (2-1/2"" across)",1.00000,0.50000,0.50000,0.69300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01656,0.00000,0.00000,98.74224,30.79613,0.00000,170.64000,2.91960,
53521100,Chocolate raised doughnut  frosted,1,1.00000,"medium (3"" across)",1.00000,0.50000,0.50000,0.89531,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01491,0.00000,0.00205,123.64011,88.49133,0.00000,274.77000,4.31680,
53521100,Chocolate raised doughnut  frosted,2,1.00000,doughnut hole,1.00000,1.00000,1.00000,0.29003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00483,0.00000,0.00066,40.05243,28.66620,0.00000,89.01000,1.39840,
53521100,Chocolate raised doughnut  frosted,2,1.00000,"large (4"" across)",1.00000,0.50000,0.50000,1.28622,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02142,0.00000,0.00295,177.62382,127.12839,0.00000,394.74000,6.20160,
53521110,Raised doughnut,1,1.00000,"medium (3-3/4"" across)",1.00000,0.50000,0.50000,1.08600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01800,0.00000,0.00253,119.79900,52.77024,0.00000,241.80000,3.48600,
53521110,Raised doughnut,2,1.00000,doughnut hole,1.00000,1.00000,1.00000,0.23530,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00390,0.00000,0.00055,25.95645,11.43355,0.00000,52.39000,0.75530,
53521110,Raised doughnut,2,1.00000,"large (4"" across)",1.00000,0.50000,0.50000,1.35750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02250,0.00000,0.00317,149.74875,65.96280,0.00000,302.25000,4.35750,
53521110,Raised doughnut,2,1.00000,"twist (5"" long)",1.00000,0.50000,0.50000,1.62900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02700,0.00000,0.00380,179.69850,79.15535,0.00000,362.70000,5.22900,
53521110,Raised doughnut,2,1.00000,"small (3"" across)",1.00000,0.50000,0.50000,0.56110,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00930,0.00000,0.00131,61.89615,27.26462,0.00000,124.93000,1.80110,
53521130,Raised doughnut  frosted,1,1.00000,"medium (3"" across)",1.00000,0.50000,0.50000,0.91306,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01491,0.00000,0.00205,122.90526,90.25700,0.00000,274.77000,4.19610,
53521130,Raised doughnut  frosted,2,1.00000,"large (4"" across)",1.00000,0.50000,0.50000,1.31172,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02142,0.00000,0.00295,176.56812,129.66498,0.00000,394.74000,6.02820,
53521130,Raised doughnut  frosted,2,1.00000,doughnut hole,1.00000,1.00000,1.00000,0.29578,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00483,0.00000,0.00066,39.81438,29.23818,0.00000,89.01000,1.35930,
53521140,Jelly doughnut,1,1.00000,doughnut,1.00000,0.50000,0.50000,0.89375,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00325,0.00000,0.00000,0.00975,0.00000,0.01098,104.47515,51.70560,0.00000,221.00000,3.14600,
53530000,Pop Tart,1,1.00000,Pop Tart,1.00000,0.50000,0.50000,1.95000,0.00000,0.00728,0.00000,0.00000,0.00728,0.00000,0.02236,0.00000,0.00000,0.00000,0.00000,0.00012,44.78760,37.65402,0.00000,204.36000,0.79040,
53540200,Breakfast bar,1,1.00000,bar,1.00000,0.50000,0.50000,0.73889,0.26640,0.00000,0.00000,0.00000,0.00000,0.00000,0.00777,0.00000,0.00000,0.00000,0.00000,0.50304,0.00000,49.89198,0.00000,139.49000,0.55500,
